arzt_id;stadt;fachrichtung;fachgruppe;bundesland;flaeche_km2;einwohner;anzahl_bewertungen;durchschnittsbewertung
11424166;Aachen;Ästhetische Zahnmedizin;Zahnmedizin – Allgemein;Nordrhein-Westfalen;160.85;262670.0;64;1.18
10035952;Aachen;Augenarzt;Augen-, HNO- & Hautärzte;Nordrhein-Westfalen;160.85;262670.0;10;2.38
10064994;Aachen;Augenarzt;Augen-, HNO- & Hautärzte;Nordrhein-Westfalen;160.85;262670.0;4;1.33
10087101;Aachen;Augenarzt;Augen-, HNO- & Hautärzte;Nordrhein-Westfalen;160.85;262670.0;14;1.91
10095785;Aachen;Augenarzt;Augen-, HNO- & Hautärzte;Nordrhein-Westfalen;160.85;262670.0;16;2.43
10273386;Aachen;Augenarzt;Augen-, HNO- & Hautärzte;Nordrhein-Westfalen;160.85;262670.0;23;1.69
10290172;Aachen;Augenarzt;Augen-, HNO- & Hautärzte;Nordrhein-Westfalen;160.85;262670.0;19;1.45
10294089;Aachen;Augenarzt;Augen-, HNO- & Hautärzte;Nordrhein-Westfalen;160.85;262670.0;16;2.21
10355415;Aachen;Augenarzt;Augen-, HNO- & Hautärzte;Nordrhein-Westfalen;160.85;262670.0;15;2.95
10405938;Aachen;Augenarzt;Augen-, HNO- & Hautärzte;Nordrhein-Westfalen;160.85;262670.0;3;1.75
10407667;Aachen;Augenarzt;Augen-, HNO- & Hautärzte;Nordrhein-Westfalen;160.85;262670.0;56;1.85
10413940;Aachen;Augenarzt;Augen-, HNO- & Hautärzte;Nordrhein-Westfalen;160.85;262670.0;9;3.07
11160592;Aachen;Augenarzt;Augen-, HNO- & Hautärzte;Nordrhein-Westfalen;160.85;262670.0;6;1.42
11175013;Aachen;Augenarzt;Augen-, HNO- & Hautärzte;Nordrhein-Westfalen;160.85;262670.0;15;2.3
11182679;Aachen;Augenarzt;Augen-, HNO- & Hautärzte;Nordrhein-Westfalen;160.85;262670.0;88;1.23
11186219;Aachen;Augenarzt;Augen-, HNO- & Hautärzte;Nordrhein-Westfalen;160.85;262670.0;90;1.68
11209403;Aachen;Augenarzt;Augen-, HNO- & Hautärzte;Nordrhein-Westfalen;160.85;262670.0;9;2.76
11243117;Aachen;Augenarzt;Augen-, HNO- & Hautärzte;Nordrhein-Westfalen;160.85;262670.0;1;1.46
11302793;Aachen;Augenarzt;Augen-, HNO- & Hautärzte;Nordrhein-Westfalen;160.85;262670.0;6;2.1
11374053;Aachen;Augenarzt;Augen-, HNO- & Hautärzte;Nordrhein-Westfalen;160.85;262670.0;1;1.25
11411614;Aachen;Augenarzt;Augen-, HNO- & Hautärzte;Nordrhein-Westfalen;160.85;262670.0;2;1.84
11424533;Aachen;Augenarzt;Augen-, HNO- & Hautärzte;Nordrhein-Westfalen;160.85;262670.0;48;1.54
11372562;Aachen;Endodontologie;Zahnmedizin – Spezialisierungen;Nordrhein-Westfalen;160.85;262670.0;100;1.12
10025598;Aachen;Hals- Nasen- Ohrenarzt;Augen-, HNO- & Hautärzte;Nordrhein-Westfalen;160.85;262670.0;10;2.47
10028631;Aachen;Hals- Nasen- Ohrenarzt;Augen-, HNO- & Hautärzte;Nordrhein-Westfalen;160.85;262670.0;15;2.1
10065937;Aachen;Hals- Nasen- Ohrenarzt;Augen-, HNO- & Hautärzte;Nordrhein-Westfalen;160.85;262670.0;39;1.77
10083200;Aachen;Hals- Nasen- Ohrenarzt;Augen-, HNO- & Hautärzte;Nordrhein-Westfalen;160.85;262670.0;23;2.49
10083201;Aachen;Hals- Nasen- Ohrenarzt;Augen-, HNO- & Hautärzte;Nordrhein-Westfalen;160.85;262670.0;29;1.51
10090420;Aachen;Hals- Nasen- Ohrenarzt;Augen-, HNO- & Hautärzte;Nordrhein-Westfalen;160.85;262670.0;17;2.37
10151761;Aachen;Hals- Nasen- Ohrenarzt;Augen-, HNO- & Hautärzte;Nordrhein-Westfalen;160.85;262670.0;37;2.85
10334845;Aachen;Hals- Nasen- Ohrenarzt;Augen-, HNO- & Hautärzte;Nordrhein-Westfalen;160.85;262670.0;10;1.65
10408918;Aachen;Hals- Nasen- Ohrenarzt;Augen-, HNO- & Hautärzte;Nordrhein-Westfalen;160.85;262670.0;47;1.56
